,name,id,smiles,formula
46,atromid-s,DB00636,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,C12H15ClO3
47,azulfidine,DB00795,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,C18H14N4O5S
48,baraclude,DB00442,C=C1[C@H](C[C@@H]([C@H]1CO)O)N2C=NC3=C2N=C(NC3=O)N,C12H15N5O3
49,betagan,DB01210,CC(C)(C)NC[C@@H](COC1=CC=CC2=C1CCCC2=O)O,C17H25NO3
50,bextra,DB00580,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,C16H14N2O3S
51,botox,DB00083,None,C6760H10447N1743O2010S32
52,brevibloc,DB00187,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,C16H25NO4
53,brovana,DB01274,C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O,C19H24N2O4
54,busulfex,DB01008,CS(=O)(=O)OCCCCOS(=O)(=O)C,C6H14O6S2
55,bactrim,DB00440,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,C14H18N4O3
56,betaseron,DB00068,None,C908H1408N246O253S6
57,bezalip,DB01393,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,C19H20ClNO4
58,bezalip retard,DB01393,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,C19H20ClNO4
59,bicnu,DB00262,C(CCl)NC(=O)N(CCCl)N=O,C5H9Cl2N3O2
60,brilinta,DB08816,CCCSC1=NC(=C2C(=N1)N(N=N2)[C@@H]3C[C@@H]([C@H]([C@H]3O)O)OCCO)N[C@@H]4C[C@H]4C5=CC(=C(C=C5)F)F,C23H28F2N6O4S
61,camptosar,DB00762,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,C33H38N4O6
62,cancidas,DB00520,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@H]([C@H](NC(=O)[C@@H]2[C@H](CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)O)[C@@H]([C@H](C4=CC=C(C=C4)O)O)O)[C@@H](CCN)O)O)NCCN)O,C52H88N10O15
63,casodex,DB01128,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,C18H14F4N2O4S
64,cefotan,DB01330,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O,C17H17N7O8S4
65,celebrex,DB00482,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,C17H14F3N3O2S
66,chemet,DB00566,[C@@H]([C@@H](C(=O)O)S)(C(=O)O)S,C4H6O4S2
67,colazal,DB01014,C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC(=C(C=C2)O)C(=O)O,C17H15N3O6
68,colestid,DB00375,None,None
69,copaxone,DB05259,None,(C5H9NO4•C3H7NO2•C6H14N2O2•C9H11NO3)x•xC2H4O2
70,copegus,DB00811,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,C8H12N4O5
71,coreg,DB01136,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,C24H26N2O4
72,crixivan,DB00224,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,C36H47N5O4
73,cylert,DB01230,C1=CC=C(C=C1)C2C(=O)N=C(O2)N,C9H8N2O2
74,calan sr,DB00661,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,C27H38N2O4
75,campath,DB00087,None,C6468H10066N1732O2005S40
76,carboptic,DB00411,C[N+](C)(C)CCOC(=O)N,C6H15N2O2
77,cataflam,DB00586,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,C14H11Cl2NO2
78,caverject,DB00770,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,C20H34O5
79,cefizox,DB01332,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=CCS3)C(=O)O,C13H13N5O5S2
80,celexa,DB00215,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,C20H21FN2O
81,celontin,DB05246,CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2,C12H13NO2
82,cerebyx,DB01320,C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)(O)O)C3=CC=CC=C3,C16H15N2O6P
83,cerezyme,DB00053,None,C2532H3854N672O711S16
84,cerubidine,DB00694,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,C27H29NO10
85,chirocaine,DB01002,CCCCN1CCCC[C@H]1C(=O)NC2=C(C=CC=C2C)C,C18H28N2O
86,chloromycetin,DB00446,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],C11H12Cl2N2O5
87,coly-mycin m,DB01111,CCC(C)CCCCC(=O)NC(CCNCS(=O)(=O)[O-])C(=O)NC(C(C)O)C(=O)NC(CCNCS(=O)(=O)[O-])C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCNCS(=O)(=O)[O-])CC(C)C)CC(C)C)CCNCS(=O)(=O)[O-])CCNCS(=O)(=O)[O-])C(C)O,C58H105N16O28S5
88,compazine,DB00433,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,C20H24ClN3S
89,cordarone,DB01118,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,C25H29I2NO3
90,coumadin,DB00682,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,C19H16O4
91,cuprimine,DB00859,CC(C)([C@H](C(=O)O)N)S,C5H11NO2S
92,curariform muscle relaxants,DB09287,None,None
93,cytadren,DB00357,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,C13H16N2O2
94,d.h.e. 45,DB00320,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C,C33H37N5O5
95,demser,DB00765,C[C@](CC1=CC=C(C=C1)O)(C(=O)O)N,C10H13NO3
96,detrol la,DB01036,CC1=CC(=C(C=C1)O)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2,C22H31NO
97,diamox,DB00819,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,C4H6N4O3S2
98,didrex,DB00865,C[C@@H](CC1=CC=CC=C1)N(C)CC2=CC=CC=C2,C17H21N
99,differin,DB00210,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,C28H28O3
100,diflucan,DB00196,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,C13H12F2N6O
101,dilaudid,DB00327,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4,C17H19NO3
102,diprivan,DB00818,CC(C)C1=C(C(=CC=C1)C(C)C)O,C12H18O
103,disalcid,DB01399,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,C14H10O5
104,ditropan xl,DB01062,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,C22H31NO3
105,dostinex,DB00248,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C,C26H37N5O2
106,doxil,DB00997,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,C27H29NO11
107,duragesic,DB00813,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,C22H28N2O
108,dantrium,DB01219,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],C14H10N4O5
109,daypro,DB00991,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,C18H15NO3
110,deltasone,DB00635,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,C21H26O5
111,depakene,DB00313,CCCC(CCC)C(=O)O,C8H16O2
112,depakote,DB00313,CCCC(CCC)C(=O)O,C8H16O2
113,depen,DB00859,CC(C)([C@H](C(=O)O)N)S,C5H11NO2S
114,desyrel,DB00656,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,C19H22ClN5O
115,diasone,None,C1=CC(=CC=C1NCS(=O)[O-])S(=O)(=O)C2=CC=C(C=C2)NCS(=O)[O-].[Na+].[Na+],None
116,dilantin,DB00252,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,C15H12N2O2
117,diuril,DB00880,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,C7H6ClN3O4S2
118,dynacirc,DB00270,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC,C19H21N3O5
119,edecrin,DB00903,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,C13H12Cl2O4
120,eldepryl,DB01037,C[C@H](CC1=CC=CC=C1)N(C)CC#C,C13H17N
121,ellence,DB00445,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,C27H29NO11
122,eloxatin,DB00526,C1CC[C@H]([C@@H](C1)N)N.C(=O)(C(=O)O)O.[Pt+2],C8H14N2O4Pt
123,elspar,DB00023,None,C1377H2208N382O442S17
124,emcyt,DB01196,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl,C23H31Cl2NO3
125,emtriva,DB00879,C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F,C8H10FN3O3S
126,enablex,DB00496,C1CN(C[C@@H]1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5,C28H30N2O2
127,enbrel,DB00005,None,C2224H3475N621O698S36
128,equetrotm,DB00564,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,C15H12N2O
129,erbitux,DB00002,None,C6484H10042N1732O2023S36
130,ergamisol,DB00848,C1CSC2=N[C@H](CN21)C3=CC=CC=C3,C11H12N2S
131,ergomar,DB00696,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C,C33H35N5O5
132,ethyol,DB01143,C(CN)CNCCSP(=O)(O)O,C5H15N2O3PS
133,etopophos,DB00773,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,C29H32O13
134,eulexin,DB00499,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,C11H11F3N2O3
135,evista,DB00481,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,C28H27NO4S
136,extraneal,DB00702,None,None
137,effient,DB06209,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4,C20H20FNO3S
138,elavil,DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,C20H23N
139,exelon,DB00989,CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C,C14H22N2O2
140,exjade,DB01609,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,C21H15N3O4
141,factive,DB01155,CO/N=C/1\CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F,C18H20FN5O4
142,feldene,DB00554,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,C15H13N3O4S
143,flexeril,DB00924,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,C20H21N
144,flolan,DB01240,CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1C/C(=C/CCCC(=O)O)/O2)O)O,C20H32O5
145,flomax,DB00706,CCOC1=CC=CC=C1OCCN[C@H](C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N,C20H28N2O5S
146,fludara,DB01073,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)F)N,C10H12FN5O4
147,fluothane,DB01159,C(C(F)(F)F)(Cl)Br,C2HBrClF3
148,foradil,DB00983,CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O,C19H24N2O4
149,fortovase,DB01232,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,C38H50N6O5
150,foscavir,DB00529,C(=O)(O)P(=O)(O)O,CH3O5P
151,frova,DB00998,CN[C@@H]1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N,C14H17N3O
152,factrel,DB00644,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(=O)N)NC(=O)CNC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,C55H75N17O13
153,felbatol,DB00949,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,C11H14N2O4
154,femara,DB01006,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,C17H11N5
155,furadantin,DB00698,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],C8H6N4O5
156,furoxone,DB00614,C1COC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],C8H7N3O5
157,gabitril,DB00906,CC1=C(SC=C1)C(=CCCN2CCC[C@H](C2)C(=O)O)C3=C(C=CS3)C,C20H25NO2S2
158,gantrisin,DB00263,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,C11H13N3O3S
159,gemzar,DB00441,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,C9H11F2N3O4
160,geocillin,DB09319,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)OC4=CC5=C(CCC5)C=C4)C(=O)O)C,C26H26N2O6S
161,gleevec,DB00619,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,C29H31N7O
162,gris-peg,DB00400,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,C17H17ClO6
163,haldol,DB00502,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,C21H23ClFNO2
164,hemabate,DB00429,CCCCC[C@@](C)(/C=C/[C@H]1[C@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)[O-])O)O)O.C(C(CO)(CO)[NH3+])O,C25H47NO8
165,herceptin,DB00072,None,C6470H10012N1726O2013S42
166,hexalen,DB00488,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,C9H18N6
167,humira,DB00051,None,C6428H9912N1694O1987S46
168,humorsol,DB00944,CN(CCCCCCCCCCN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C)C(=O)OC2=CC=CC(=C2)[N+](C)(C)C,C32H52N4O4
169,hydrodiuril,DB00999,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,C7H8ClN3O4S2
170,imitrex,DB00669,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,C14H21N3O2S
171,inapsine,DB00450,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,C22H22FN3O2
172,indocin,DB00328,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,C19H16ClNO4
173,inomax,DB00435,[N]=O,NO
174,inspra,DB00700,C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC,C24H30O6
175,invega,DB01267,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,C23H27FN4O3
176,invirase,DB01232,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,C38H50N6O5
177,iopidine,DB00964,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl,C9H10Cl2N4
178,iressa,DB00317,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,C22H24ClFN4O3
179,isuprel,DB01064,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,C11H17NO3
180,implanon,DB00294,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,C22H28O2
181,imuran,DB00993,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],C9H7N7O2S
182,inderal,DB00571,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,C16H21NO2
183,infacol,DB09512,CO[Si](C)(C)O[Si](C)(C)C.O=[Si]=O,C6H18O4Si3
184,innovar,DB00450,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,C22H22FN3O2
185,innovar vet,None,None,None
186,ismelin,DB01170,C1CCCN(CCC1)CCN=C(N)N,C10H22N4
187,isopto carbachol,DB00411,C[N+](C)(C)CCOC(=O)N,C6H15N2O2
188,januvia,DB01261,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,C16H15F6N5O
189,kemstro,DB00181,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,C10H12ClNO2
190,kemstrotm,DB00181,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,C10H12ClNO2
191,kadian,DB00295,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,C17H19NO3
192,kaletra,DB00503,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,C37H48N6O5S2
193,keppra,DB01202,CC[C@@H](C(=O)N)N1CCCC1=O,C8H14N2O2
194,kerlone,DB00195,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,C18H29NO3
195,kineret,DB00026,None,C759H1186N208O232S10
196,kytril,DB00889,CN1[C@@H]2CCC[C@H]1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,C18H24N4O
197,lamisil,DB00857,CC(C)(C)C#C/C=C/CN(C)CC1=CC=CC2=CC=CC=C21,C21H25N
